"","pac_name_affiliate","country","parent","total","dems","repubs","year"
"969","Rolls-Royce North America (Rolls-Royce PLC)","UK","Rolls-Royce PLC",353800,176800,172000,2010
"970","Sanofi-Aventis US (Sanofi-Aventis)","France","Sanofi-Aventis",87000,43500,43500,2010
"971","Sanofi-Pasteur Inc (Sanofi-Aventis)","France","Sanofi-Aventis",44500,19750,24750,2010
"972","Santander Bank (Banco Santander)","Spain","Banco Santander",9500,9500,0,2010
"973","SAP America","Germany","SAP AG",46500,31000,15500,2010
"974","Schaeffler Group USA","Germany","Schaeffler Group",3000,2000,1000,2010
"975","Securitas Security Services USA","Sweden","Securitas AB",10500,0,10500,2010
"976","Serco Inc","UK","Serco Group",86900,41000,45900,2010
"977","SES Americom (SES SA)","Luxembourg","SES SA",3000,3000,0,2010
"978","Severstal Warren","Russia","OAO Severstal",0,0,0,2010
"979","Shell Oil","Netherlands","Royal Dutch Shell",0,0,0,2010
"980","Shire Pharmaceuticals","UK","Shire Plc",1500,1000,500,2010
"981","Siemens Corp","Germany","Siemens AG",302000,171000,128000,2010
"982","Skilled Healthcare Group (Onex Corp)","Canada","Onex Corp",13500,13500,0,2010
"983","Smith & Nephew","UK","Smith & Nephew Plc",0,0,0,2010
"984","Smiths Detection","UK","Smiths Group PLC",10800,7800,1000,2010
"985","Sodexo Inc","France","Sodexo",49500,41000,8500,2010
"986","Sony Pictures Entertainment (Sony Corp)","Japan","Sony Corp",191900,111400,79500,2010
"987","Space Systems/Loral","UK","Loral Space & Communications",6900,6900,0,2010
"988","Spirit Aerosystems (Onex Corp)","Canada","Onex Corp",28400,5000,23400,2010
"989","Stanley Inc (CGI Group)","Canada","CGI Group",17400,8200,9200,2010
"990","Sun Life Assurance of Canada (Sun Life Financial)","Canada","Sun Life Financial",19900,13900,6000,2010
"991","Sunovion Pharmaceuticals","Japan","Sumitomo Chemical",32500,29500,3000,2010
"992","Swedish Match North America (Swedish Match AB)","Sweden","Swedish Match AB",71500,32500,39000,2010
"993","Swiss Re America","Switzerland","Swiss Reinsurance",20200,12400,7800,2010
"994","Syngenta Corp","Switzerland","Syngenta AG",249000,145500,103500,2010
"995","T-Mobile USA","Germany","Deutsche Telekom AG",398150,220400,177750,2010
"996","Takeda Pharmaceuticals North America (Takeda Pharmaceutical Co)","Japan","Takeda Pharmaceutical Co",17000,7000,10000,2010
"997","Talecris Biotherapeutics","Spain","Grifols SA",50000,25000,25000,2010
"998","Tate & Lyle Americas (Tate & Lyle)","UK","Tate & Lyle",28950,11500,17450,2010
"999","Teva Pharmaceuticals USA","Israel","Teva Pharmaceutical Industries",96700,56200,40500,2010
"1000","Timex Group USA","Netherlands","Timex Group",0,0,0,2010
"1001","Tyco International","Ireland","Tyco International",263000,134000,129000,2010
"1002","UBS Americas","Switzerland","UBS AG",469500,258500,206000,2010
"1003","Ultra Electronics Prologic","UK","Ultra Electronics",33450,20000,12950,2010
"1004","UnionBanCal Corp","Japan","Mitsubishi UFJ Financial Group",0,0,0,2010
"1005","United Water","France","SUEZ Environnement",15100,10100,5000,2010
"1006","Universal Music Group (Vivendi Universal)","France","Vivendi Universal",145300,82800,61500,2010
"1007","VT Halter Marine","Singapore","ST Engineering",4000,2500,1000,2010
"1008","Weatherford US","UK","Weatherford International",11100,2900,8200,2010
"1009","Westfield Corp","Australia","Westfield Group of Australia",15126,15126,0,2010
"1010","Westinghouse Electric","Japan","Toshiba Corp",35000,18500,16500,2010
"1011","Wexler & Walker Public Policy Assoc (WPP Group)","UK","WPP Group",1e+05,62500,36500,2010
"1012","Willis North America","UK","Willis Group Holdings",7500,4500,3000,2010
"1013","XL America","Ireland","XL Group PLC",1500,1500,0,2010
"1014","Zurich Insurance (Zurich Financial Services)","Switzerland","Zurich Financial Services",168000,78000,90000,2010
"1015","ABB Group","Switzerland","Asea Brown Boveri",5500,3500,2000,2012
"1016","Abengoa Solar","Spain","Abengoa SA",0,0,0,2012
"1017","Accenture (Accenture)","Ireland","Accenture plc",0,0,0,2012
"1018","Accenture (Accenture)","Ireland","Accenture plc",304500,160000,144500,2012
"1019","ACE INA","Switzerland","ACE Ltd",281500,121500,160000,2012
"1020","Advance America Cash Advance Centers (Grupo Salinas)","Mexico","Grupo Salinas",115750,22000,93750,2012
"1021","Advanced BioHealing (Shire Plc)","UK","Shire Plc",37250,19750,17500,2012
"1022","Agrium US","Canada","Agrium Inc",112,0,112,2012
"1023","Air Liquide America","France","L'Air Liquide SA",25500,12000,9000,2012
"1024","Alcatel-Lucent USA (Alcatel-Lucent)","France","Alcatel-Lucent",19000,8000,11000,2012
"1025","Alcon Laboratories (Novartis AG)","Switzerland","Novartis",8000,2000,6000,2012
"1026","Alkermes Inc","Ireland","Alkermes Plc",6000,1000,5000,2012
"1027","Allianz of America (Allianz)","Germany","Allianz AG Holding",80750,25000,55750,2012
"1028","Alstom","France","Alstom SA",0,0,0,2012
"1029","AMG Vanadium","Netherlands","AMG Advanced Metallurgical Group",0,0,0,2012
"1030","Anheuser-Busch","Belgium","Anheuser-Busch InBev",806381,361381,445000,2012
"1031","AON Corp (AON plc)","UK","AON PLC",115000,49000,66000,2012
"1032","APL Ltd","Singapore","Neptune Orient Lines Ltd",35500,6000,29500,2012
"1033","Arcadis US","Netherlands","Arcadis NV",184500,95000,89500,2012
"1034","ArcelorMittal USA","Luxembourg","ArcelorMittal",69500,29000,40500,2012
"1035","Arch Capital Group (US)","UK","Arch Capital Group",9000,2000,7000,2012
"1036","AREVA Inc","France","Areva Group",106750,48250,58500,2012
"1037","Arkema Inc","France","Arkema",22500,6000,16500,2012
"1038","Ashta Chemicals","Mexico","Bigshire Mexico",0,0,0,2012
"1039","Astellas US","Japan","Astellas Pharma",85500,44000,41500,2012
"1040","AstraZeneca Pharmaceuticals (AstraZeneca PLC)","UK","AstraZeneca PLC",640452,296952,343500,2012
"1041","Atkins North America","UK","WS Atkins PLC",2750,1500,1250,2012
"1042","Atlantic Marine (BAE Systems)","UK","BAE Systems",0,0,0,2012
"1043","Aviva USA","UK","Aviva PLC",6500,4000,2500,2012
"1044","AXA Equitable Life Insurance (AXA)","France","AXA",149500,74000,75500,2012
"1045","AXIS Specialty US Services (AXIS Capital)","UK","AXIS Captial",3000,2000,1000,2012
"1046","Bacardi USA","UK","Bacardi Ltd",16500,8000,8500,2012
"1047","BAE Systems (BAE Systems)","UK","BAE Systems",737000,276000,461000,2012
"1048","BancWest Corp (BNP Paribas)","France","BNP Paribas",6000,0,6000,2012
"1049","Barclays Group US","UK","Barclays plc",104499,23500,80999,2012
"1050","Barrick Goldstrike Mines","Canada","Barrick Gold Corp",113500,45000,68500,2012
"1051","BASF Corp","Germany","BASF SE",411500,118500,293000,2012
"1052","Bayer Corp","Germany","Bayer AG",470000,150000,320000,2012
"1053","BBVA Compass","Spain","Banco Bilbao Vizcaya Argentaria",249500,62000,187500,2012
"1054","BMO Harris Bank (Bank of Montreal)","Canada","Bank of Montreal",7100,4300,2800,2012
"1055","Boehringer Ingelheim Corp","Germany","CH Boehringer Sohn",147750,81750,66000,2012
"1056","Bombardier Transportation USA (Bombardier Inc)","Canada","Bombardier Inc",13500,12500,1000,2012
"1057","BP North America","UK","BP PLC",207000,58000,149000,2012
"1058","Bridgestone Americas","Japan","Bridgestone Corp",70996,26000,44996,2012
"1059","Bumble Bee Foods","UK","Lion Capital",20500,5500,15000,2012
"1060","Burson-Marsteller (WPP Group)","UK","WPP Group",62750,31250,31500,2012
"1061","Buzzi Unicem USA","Italy","Buzzi Unicem SpA",6250,-500,6750,2012
"1062","CalPortland Co","Japan","Taiheiyo Cement Co",80999,16500,64499,2012
"1063","Carmeuse Lime","Netherlands","LVI Holding",15000,5500,9500,2012
"1064","Case New Holland","Italy","Fiat SPA",90000,7500,82500,2012
"1065","CEMEX Inc","Mexico","CEMEX SAB de CV",166500,20200,146300,2012
"1066","Cephalon Inc (Teva Pharmaceutical Industries)","Israel","Teva Pharmaceutical Industries",53500,11500,42000,2012
"1067","CGI Technologies & Solutions","Canada","CGI Group",128500,61500,67000,2012
"1068","Citizens Financial Group","UK","Royal Bank of Scotland Group",150750,112750,37000,2012
"1069","Cobham Management Services","UK","Cobham PLC",148500,41500,107000,2012
"1070","Commonwealth-Altadis","UK","Imperial Tobacco Group",77000,19500,57500,2012
"1071","Cooper Industries (Eaton Corp)","Ireland","Eaton Plc",48500,3000,45500,2012
"1072","Covidien US","UK","Covidien Ltd",249300,102500,146800,2012
"1073","Credit Suisse Securities","Switzerland","Credit Suisse Group",519000,239500,279500,2012
"1074","CSL Behring","Australia","CSL Ltd",43000,19000,24000,2012
"1075","Daiichi Sankyo Inc","Japan","Daiichi Sanyko",218000,68000,150000,2012
"1076","Delphi Automotive","UK","Delphi Automotive",36000,16000,20000,2012
"1077","Deutsche Bank Securities","Germany","Deutsche Bank AG",53900,20400,33500,2012
"1078","DHL (Deutsche Post AG)","Germany","Deutsche Post AG",2000,0,2000,2012
"1079","Diageo North America (Diageo PLC)","UK","Diageo PLC",115065,58303,56762,2012
"1080","Diageo North America/CT (Diageo PLC)","UK","Diageo PLC",0,0,0,2012
"1081","Direct Energy Inc","UK","Centrica Plc",0,0,0,2012
"1082","DRS Technologies","Italy","Finmeccanica SpA",405300,173000,232300,2012
"1083","EADS North America","Netherlands","European Aeronautic Defence & Space Co",240600,85000,155600,2012
"1084","Eaton Corp (Eaton Corp)","Ireland","Eaton Plc",10500,2500,8000,2012
"1085","EDF Renewable Energy","France","EDF Group",17150,10000,7150,2012
"1086","EDP Renewables NA","Portugal","EDP - Energias de Portugal",7500,4500,3000,2012
"1087","Eisai Inc","Japan","Eisai Co Ltd",82500,35000,47500,2012
"1088","Elbit Systems of America","Israel","Elbit Systems Ltd",32000,5500,26500,2012
"1089","Embraer Aircraft Holdings","Brazil","Embraer-Empresa Brasileira de Aeronautic",9500,3500,6000,2012
"1090","EMD Serono Inc","Germany","Merck KGaA",124500,71000,53500,2012
"1091","EnCana Oil & Gas USA","Canada","EnCana Corp",0,0,0,2012
"1092","Essroc Corp","Italy","Italcementi Group",6500,3500,3000,2012
"1093","Experian","UK","Experian",426000,99500,326500,2012
"1094","Farmers Group (Zurich Insurance Group)","Switzerland","Zurich Financial Services AG",189900,38250,151650,2012
"1095","First Hawaiian Bank (BNP Paribas)","France","BNP Paribas",16500,13500,3000,2012
"1096","FirstGroup America (FirstGroup PLC)","UK","FirstGroup PLC",0,0,0,2012
"1097","Food Lion","Belgium","Delhaize Group",12500,8000,3500,2012
"1098","Foster Wheeler","Switzerland","Foster Wheeler PLC",0,0,0,2012
"1099","Fresenius Medical Care North America","Germany","Fresenius Medical Care",199398,109500,89898,2012
"1100","G4S Government Solutions (G4S plc)","UK","G4S plc",0,0,0,2012
"1101","G4S Secure Solutions (G4S plc)","UK","G4S plc",64000,15500,48500,2012
"1102","GDF Suez Energy North America","France","GDF SUEZ",58000,18500,39500,2012
"1103","Genentech Inc (Roche Holdings)","Switzerland","Roche Holdings",269500,134000,135500,2012
"1104","General Cigar Co","Sweden","Scandinavian Tobacco Group",5750,3000,2750,2012
"1105","Genzyme Corp (Sanofi)","France","Sanofi",21000,10000,11000,2012
"1106","GKN Corp","UK","GKN PLC",500,500,0,2012
"1107","Glanbia Foods (Glanbia PLC)","Ireland","Glanbia PLC",100,0,100,2012
"1108","GlaxoSmithKline","UK","GlaxoSmithKline",521250,239000,282250,2012
"1109","Glover Park Group (WPP Group)","UK","WPP Group",123665,85815,37850,2012
"1110","Grand Trunk Western-Illinois Central RR","Canada","Canadian National Railway",59750,23500,36250,2012
"1111","Great-West Life & Annuity Insurance (Power Financial Corp)","Canada","Power Financial Corp",59000,31000,28000,2012
"1112","Greyhound Lines (FirstGroup PLC)","UK","FirstGroup PLC",14500,9500,5000,2012
"1113","Grifols Inc (Grifols SA)","Spain","Grifols SA",40000,28000,12000,2012
"1114","Gtech Corp","Italy","B&D Holding Di Marco Drago e C Sapa",16500,15500,1000,2012
"1115","Heineken USA","Netherlands","L'Arche Green NV",33500,15000,18500,2012
"1116","Henkel Corp (Henkel KGaA)","Germany","Henkel KGaA",6000,4000,2000,2012
"1117","Herbalife International","UK","Herbalife Ltd",66971,28493,38478,2012
"1118","Hill & Knowlton Strategies (WPP Group)","UK","WPP Group",2000,2000,0,2012
"1119","Hoffmann-La Roche (Roche Holdings)","Switzerland","Roche Holdings",54500,28000,26500,2012
"1120","Holcim US","Switzerland","Holcim Ltd",74000,32000,42000,2012
"1121","HSBC North America (HSBC Holdings)","UK","HSBC Holdings",239500,108500,131000,2012
"1122","HSBC North America/Michigan (HSBC Holdings)","UK","HSBC Holdings",0,0,0,2012
"1123","Iberdrola Renewables (Iberdrola SA)","Spain","Iberdrola SA",45500,29000,15500,2012
"1124","Iberdrola USA (Iberdrola SA)","Spain","Iberdrola SA",10000,6000,0,2012
"1125","Infineon Technologies","Germany","Infineon Technologies AG",1000,500,500,2012
"1126","ING US (ING Group)","Netherlands","ING Group",125500,67000,57500,2012
"1127","Ingersoll-Rand","Ireland","Ingersoll Rand Co",26000,10500,15500,2012
"1128","Intelsat Holdings (Serafina SA)","Luxembourg","Serafina SA",70442,29750,40692,2012
"1129","Intergraph Corp","Sweden","Hexagon AB",2000,0,2000,2012
"1130","International Power America","UK","International Power",0,0,0,2012
"1131","International Securities Exchange","Germany","Deutsche Boerse",49250,29000,20250,2012
"1132","Jackson National Life Insurance","UK","Prudential PLC",171679,30500,141179,2012
"1133","JBS USA","Brazil","JBS SA",115000,20000,95000,2012
"1134","Jeld-Wen Inc (Onex Corp)","Canada","Onex Corp",7750,3250,4500,2012
"1135","John Hancock Life Insurance","Canada","Manulife Financial",131000,66000,65000,2012
"1136","Kawasaki Motors Corp USA","Japan","Kawasaki Heavy Industries",0,0,0,2012
"1137","Keystone Foods","Brazil","Marfrig Global Foods",1000,0,1000,2012
"1138","LaFarge North America","France","Lafarge SA",79500,25000,54500,2012
"1139","Learjet Inc (Bombardier Inc)","Canada","Bombardier Inc",8000,3000,5000,2012
"1140","Lehigh Hanson","Germany","HeidelbergCement AG",22500,3500,19000,2012
"1141","Linde North America","Germany","Linde AG",55000,26000,29000,2012
"1142","Louis Dreyfus Commodities (Louis Dreyfus Group)","Netherlands","Louis Dreyfus Group",46500,4000,42500,2012
"1143","Louis Dreyfus Group (Louis Dreyfus Group)","Netherlands","Louis Dreyfus Group",0,0,0,2012
"1144","Lundbeck Inc","Denmark","H Lundbeck A/S",0,0,0,2012
"1145","LyondellBasell Industries","Netherlands","LyondellBasell Industries",87000,19500,67500,2012
"1146","Maersk Inc (AP Moller-Maersk)","Denmark","AP Moller-Maersk",139500,54500,85000,2012
"1147","Magna Holdings of America","Canada","Magna International",1758,1758,0,2012
"1148","Marinette Marine","Italy","Fincantieri-Cantieri Navali Italiani SpA",26000,0,26000,2012
"1149","Marshall & Ilsley Corp (Bank of Montreal)","Canada","Bank of Montreal",22000,1500,20500,2012
"1150","Massachusetts Financial Services (Sun Life Financial)","Canada","Sun Life Financial Services",27500,14000,13500,2012
"1151","MBDA Inc","UK","MBDA",7000,1000,6000,2012
"1152","McDermott International (McDermott International)","Panama","McDermott International",49500,3500,46000,2012
"1153","Medimmune Inc (AstraZeneca PLC)","UK","AstraZeneca PLC",76500,40000,36500,2012
"1154","Metro-Goldwyn-Mayer (Sony Corp)","Japan","Sony Corp",0,0,0,2012
"1155","Millennium Pharmaceuticals (Takeda Pharmaceutical Co)","Japan","Takeda Pharmaceutical Co",19000,10500,8500,2012
"1156","MillerCoors LLC","UK","SABMiller PLC",215000,45500,169500,2012
"1157","Miraca Life Sciences","Japan","Miraca Holdings",0,0,0,2012
"1158","MorphoTrust USA","France","Safran Identity & Security",0,0,0,2012
"1159","Munich American Reassurance","Germany","Munich Re Group",0,0,0,2012
"1160","Nammo Talley Inc","Norway","Nammo AS",4000,3500,500,2012
"1161","National Cement Co","France","Vicat Group",2500,0,2500,2012
"1162","National Grid USA (National Grid plc)","UK","National Grid plc",0,0,0,2012
"1163","National Grid USA (National Grid plc)","UK","National Grid plc",113400,81900,31500,2012
"1164","Natixis Global Asset Management","France","Groupe BPCE",0,0,0,2012
"1165","Nestle Purina PetCare (Nestle SA)","Switzerland","Nestle SA",22500,4750,17750,2012
"1166","Nestle Waters North America (Nestle SA)","Switzerland","Nestle",22000,19000,3000,2012
"1167","Nomura Holding America","Japan","Nomura Holdings",65500,24500,41000,2012
"1168","Novartis Corp (Novartis AG)","Switzerland","Novartis AG",330200,130500,199700,2012
"1169","Novo Nordisk","Denmark","Novo Nordisk A/S",232042,118648,112394,2012
"1170","Oldcastle Materials","Ireland","CRH PLC",207500,86000,116500,2012
"1171","Parsons Brinckerhoff","UK","Balfour Beatty",162500,115750,46750,2012
"1172","Pernod Ricard USA","France","Pernod Ricard SA",3000,0,3000,2012
"1173","Peter Pan Seafoods","Japan","Maruha Nichiro Holdings",4750,2000,2750,2012
"1174","Pharmavite LLC","Japan","Otsuka Pharmaceutical",75500,35000,40500,2012
"1175","Philips Electronics North America (Philips Electronics)","Netherlands","Philips Electronics",125704,24394,100310,2012
"1176","Philips Medical Systems (Philips Electronics)","Netherlands","Philips Electronics",0,0,0,2012
"1177","PotashCorp","Canada","Potash Corporation of Saskatchewan",26000,15000,11000,2012
"1178","Putnam Investments (Power Financial Corp)","Canada","Power Financial Corp",31212,8500,22712,2012
"1179","QinetiQ North America (Qinetiq Group)","UK","QinetiQ Group",32000,12000,20000,2012
"1180","RBC Bank (Royal Bank of Canada)","Canada","Royal Bank of Canada",0,0,0,2012
"1181","RBC Centura Banks (Royal Bank of Canada)","Canada","Royal Bank of Canada",0,0,0,2012
